Date,Quantite,Quantite_capped
2022-11-05,777,777.0
2022-11-06,192,192.0
2022-11-07,5395,5395.0
2022-11-08,4454,4454.0
2022-11-09,8541,8541.0
2022-11-10,2437,2437.0
2022-11-11,628,628.0
2022-11-12,467,467.0
2022-11-13,33,33.0
2022-11-14,2020,2020.0
2022-11-15,2708,2708.0
2022-11-16,1590,1590.0
2022-11-17,1294,1294.0
2022-11-18,1801,1801.0
2022-11-19,613,613.0
2022-11-20,93,93.0
2022-11-21,2011,2011.0
2022-11-22,3044,3044.0
2022-11-23,3246,3246.0
2022-11-24,3585,3585.0
2022-11-25,2516,2516.0
2022-11-26,2719,2719.0
2022-11-27,551,551.0
2022-11-28,2557,2557.0
2022-11-29,1834,1834.0
2022-11-30,1433,1433.0
2022-12-01,2186,2186.0
2022-12-02,3455,3455.0
2022-12-03,1563,1563.0
2022-12-04,580,580.0
2022-12-05,2429,2429.0
2022-12-06,2080,2080.0
2022-12-07,2428,2428.0
2022-12-08,1614,1614.0
2022-12-09,2520,2520.0
2022-12-10,480,480.0
2022-12-11,248,248.0
2022-12-12,1356,1356.0
2022-12-13,2882,2882.0
2022-12-14,2024,2024.0
2022-12-15,1779,1779.0
2022-12-16,1586,1586.0
2022-12-17,309,309.0
2022-12-18,238,238.0
2022-12-19,1257,1257.0
2022-12-20,2022,2022.0
2022-12-21,1356,1356.0
2022-12-22,1392,1392.0
2022-12-23,1462,1462.0
2022-12-24,414,414.0
2022-12-25,28,28.0
2022-12-26,1315,1315.0
2022-12-27,920,920.0
2022-12-28,1334,1334.0
2022-12-29,973,973.0
2022-12-30,761,761.0
2022-12-31,64,64.0
2023-01-02,1259,1259.0
2023-01-03,740,740.0
2023-01-04,396,396.0
2023-01-05,735,735.0
2023-01-06,450,450.0
2023-01-07,49,49.0
2023-01-08,20,20.0
2023-01-09,954,954.0
2023-01-10,1261,1261.0
2023-01-11,2148,2148.0
2023-01-12,1756,1756.0
2023-01-13,1061,1061.0
2023-01-14,178,178.0
2023-01-15,14,14.0
2023-01-16,164,164.0
2023-01-17,531,531.0
2023-01-18,1011,1011.0
2023-01-19,314,314.0
2023-01-20,413,413.0
2023-01-21,128,128.0
2023-01-22,46,46.0
2023-01-23,970,970.0
2023-01-24,1685,1685.0
2023-01-25,2927,2927.0
2023-01-26,3123,3123.0
2023-01-27,1723,1723.0
2023-01-28,541,541.0
2023-01-29,103,103.0
2023-01-30,1107,1107.0
2023-01-31,1636,1636.0
2023-02-01,2195,2195.0
2023-02-02,1979,1979.0
2023-02-03,1403,1403.0
2023-02-04,679,679.0
2023-02-05,95,95.0
2023-02-06,1629,1629.0
2023-02-07,2039,2039.0
2023-02-08,2165,2165.0
2023-02-09,1814,1814.0
2023-02-10,1637,1637.0
2023-02-11,416,416.0
2023-02-12,75,75.0
2023-02-13,10001591,9268.560000000107
2023-02-14,932,932.0
2023-02-15,939,939.0
2023-02-16,529,529.0
2023-02-17,603,603.0
2023-02-18,818,818.0
2023-02-19,29,29.0
2023-02-20,738,738.0
2023-02-21,957,957.0
2023-02-22,7270,7270.0
2023-02-23,3029,3029.0
2023-02-24,2629,2629.0
2023-02-25,1013,1013.0
2023-02-26,277,277.0
2023-02-27,1452,1452.0
2023-02-28,1112,1112.0
2023-03-01,1525,1525.0
2023-03-02,1301,1301.0
2023-03-03,1423,1423.0
2023-03-04,263,263.0
2023-03-05,28,28.0
2023-03-06,1667,1667.0
2023-03-07,407,407.0
2023-03-08,3159,3159.0
2023-03-09,4518,4518.0
2023-03-10,3329,3329.0
2023-03-11,356,356.0
2023-03-12,263,263.0
2023-03-13,2582,2582.0
2023-03-14,1497,1497.0
2023-03-15,1688,1688.0
2023-03-16,3212,3212.0
2023-03-17,1442,1442.0
2023-03-18,477,477.0
2023-03-19,52,52.0
2023-03-20,799,799.0
2023-03-21,2991,2991.0
2023-03-22,1982,1982.0
2023-03-23,1670,1670.0
2023-03-24,2500,2500.0
2023-03-25,1735,1735.0
2023-03-26,109,109.0
2023-03-27,2530,2530.0
2023-03-28,2409,2409.0
2023-03-29,1758,1758.0
2023-03-30,1395,1395.0
2023-03-31,2659,2659.0
2023-04-01,1249,1249.0
2023-04-02,116,116.0
2023-04-03,1566,1566.0
2023-04-04,3221,3221.0
2023-04-05,3000,3000.0
2023-04-06,728,728.0
2023-04-07,1428,1428.0
2023-04-08,344,344.0
2023-04-09,65,65.0
2023-04-10,130,130.0
2023-04-11,1202,1202.0
2023-04-12,1186,1186.0
2023-04-13,3091,3091.0
2023-04-14,3197,3197.0
2023-04-15,1144,1144.0
2023-04-16,92,92.0
2023-04-17,1578,1578.0
2023-04-18,1897,1897.0
2023-04-19,2209,2209.0
2023-04-20,1826,1826.0
2023-04-21,881,881.0
2023-04-22,1131,1131.0
2023-04-23,108,108.0
2023-04-24,1806,1806.0
2023-04-25,1797,1797.0
2023-04-26,1570,1570.0
2023-04-27,2435,2435.0
2023-04-28,3069,3069.0
2023-04-29,1396,1396.0
2023-04-30,156,156.0
2023-05-01,93,93.0
2023-05-02,847,847.0
2023-05-03,2621,2621.0
2023-05-04,3693,3693.0
2023-05-05,4541,4541.0
2023-05-06,662,662.0
2023-05-07,101,101.0
2023-05-08,200,200.0
2023-05-09,1756,1756.0
2023-05-10,1916,1916.0
2023-05-11,2538,2538.0
2023-05-12,2503,2503.0
2023-05-13,839,839.0
2023-05-14,226,226.0
2023-05-15,3842,3842.0
2023-05-16,1837,1837.0
2023-05-17,2327,2327.0
2023-05-18,277,277.0
2023-05-19,2602,2602.0
2023-05-20,867,867.0
2023-05-21,64,64.0
2023-05-22,2502,2502.0
2023-05-23,3735,3735.0
2023-05-24,3018,3018.0
2023-05-25,4454,4454.0
2023-05-26,2219,2219.0
2023-05-27,953,953.0
2023-05-28,94,94.0
2023-05-29,230,230.0
2023-05-30,3113,3113.0
2023-05-31,2051,2051.0
2023-06-01,3907,3907.0
2023-06-02,2680,2680.0
2023-06-03,423,423.0
2023-06-04,61,61.0
2023-06-05,2396,2396.0
2023-06-06,3497,3497.0
2023-06-07,3877,3877.0
2023-06-08,3199,3199.0
2023-06-09,3229,3229.0
2023-06-10,543,543.0
2023-06-11,68,68.0
2023-06-12,1285,1285.0
2023-06-13,3300,3300.0
2023-06-14,1834,1834.0
2023-06-15,1703,1703.0
2023-06-16,1932,1932.0
2023-06-17,294,294.0
2023-06-18,44,44.0
2023-06-19,1895,1895.0
2023-06-20,1462,1462.0
2023-06-21,3064,3064.0
2023-06-22,2145,2145.0
2023-06-23,2203,2203.0
2023-06-24,623,623.0
2023-06-25,72,72.0
2023-06-26,2083,2083.0
2023-06-27,759,759.0
2023-06-28,1677,1677.0
2023-06-29,392,392.0
2023-06-30,2521,2521.0
2023-07-01,713,713.0
2023-07-02,115,115.0
2023-07-03,2015,2015.0
2023-07-04,1884,1884.0
2023-07-05,1703,1703.0
2023-07-06,3482,3482.0
2023-07-07,1484,1484.0
2023-07-08,252,252.0
2023-07-09,63,63.0
2023-07-10,1128,1128.0
2023-07-11,1312,1312.0
2023-07-12,1479,1479.0
2023-07-13,1303,1303.0
2023-07-14,212,212.0
2023-07-15,497,497.0
2023-07-16,140,140.0
2023-07-17,1271,1271.0
2023-07-18,1575,1575.0
2023-07-19,1899,1899.0
2023-07-20,1338,1338.0
2023-07-21,1232,1232.0
2023-07-22,702,702.0
2023-07-23,22,22.0
2023-07-24,1230,1230.0
2023-07-25,2395,2395.0
2023-07-26,2076,2076.0
2023-07-27,2652,2652.0
2023-07-28,1506,1506.0
2023-07-29,183,183.0
2023-07-30,24,24.0
2023-07-31,1347,1347.0
2023-08-01,1914,1914.0
2023-08-02,2492,2492.0
2023-08-03,2064,2064.0
2023-08-04,1398,1398.0
2023-08-05,312,312.0
2023-08-06,75,75.0
2023-08-07,1796,1796.0
2023-08-08,1858,1858.0
2023-08-09,2860,2860.0
2023-08-10,3715,3715.0
2023-08-11,2151,2151.0
2023-08-12,407,407.0
2023-08-13,27,27.0
2023-08-14,470,470.0
2023-08-15,26,26.0
2023-08-16,948,948.0
2023-08-17,814,814.0
2023-08-18,2480,2480.0
2023-08-19,283,283.0
2023-08-20,16,16.0
2023-08-21,1486,1486.0
2023-08-22,1025,1025.0
2023-08-23,1064,1064.0
2023-08-24,1358,1358.0
2023-08-25,1630,1630.0
2023-08-26,343,343.0
2023-08-27,18,18.0
2023-08-28,1476,1476.0
2023-08-29,2714,2714.0
2023-08-30,2644,2644.0
2023-08-31,1140,1140.0
2023-09-01,596,596.0
2023-09-02,150,150.0
2023-09-03,137,137.0
2023-09-04,289,289.0
2023-09-05,1952,1952.0
2023-09-06,156,156.0
2023-09-07,153,153.0
2023-09-08,1477,1477.0
2023-09-09,75,75.0
2023-09-10,13,13.0
2023-09-11,4570,4570.0
2023-09-12,2607,2607.0
2023-09-13,780,780.0
2023-09-14,2485,2485.0
2023-09-15,2562,2562.0
2023-09-16,771,771.0
2023-09-17,18,18.0
2023-09-18,1189,1189.0
2023-09-19,835,835.0
2023-09-20,1530,1530.0
2023-09-21,4741,4741.0
2023-09-22,2000,2000.0
2023-09-23,277,277.0
2023-09-24,13,13.0
2023-09-25,3709,3709.0
2023-09-26,677,677.0
2023-09-27,2304,2304.0
2023-09-28,255,255.0
2023-09-29,974,974.0
2023-09-30,3337,3337.0
2023-10-01,34,34.0
2023-10-02,842,842.0
2023-10-03,1763,1763.0
2023-10-04,2981,2981.0
2023-10-05,821,821.0
2023-10-06,475,475.0
2023-10-07,499,499.0
2023-10-08,18,18.0
2023-10-09,2611,2611.0
2023-10-10,256,256.0
2023-10-11,1769,1769.0
2023-10-12,2452,2452.0
2023-10-13,1191,1191.0
2023-10-14,430,430.0
2023-10-15,27,27.0
2023-10-16,678,678.0
2023-10-17,1359,1359.0
2023-10-18,1438,1438.0
2023-10-19,2201,2201.0
2023-10-20,2480,2480.0
2023-10-21,510,510.0
2023-10-22,22,22.0
2023-10-23,1166,1166.0
2023-10-24,1092,1092.0
2023-10-25,4831,4831.0
2023-10-26,1022,1022.0
2023-10-27,731,731.0
2023-10-28,343,343.0
2023-10-29,30,30.0
2023-10-30,609,609.0
2023-10-31,2590,2590.0
2023-11-01,141,141.0
2023-11-02,256,256.0
2023-11-03,407,407.0
2023-11-04,283,283.0
2023-11-05,8,8.0
2023-11-06,2454,2454.0
2023-11-07,1056,1056.0
2023-11-08,1784,1784.0
2023-11-09,1143,1143.0
2023-11-10,395,395.0
2023-11-11,306,306.0
2023-11-12,194,194.0
2023-11-13,674,674.0
2023-11-14,2895,2895.0
2023-11-15,587,587.0
2023-11-16,389,389.0
2023-11-17,2133,2133.0
2023-11-18,545,545.0
2023-11-19,15,15.0
2023-11-20,313,313.0
2023-11-21,1155,1155.0
2023-11-22,2109,2109.0
2023-11-23,527,527.0
2023-11-24,1140,1140.0
2023-11-25,542,542.0
2023-11-26,191,191.0
2023-11-27,1081,1081.0
2023-11-28,905,905.0
2023-11-29,1845,1845.0
2023-11-30,1748,1748.0
2023-12-01,2327,2327.0
2023-12-02,263,263.0
2023-12-03,78,78.0
2023-12-04,504,504.0
2023-12-05,1355,1355.0
2023-12-06,2338,2338.0
2023-12-07,2053,2053.0
2023-12-08,614,614.0
2023-12-09,168,168.0
2023-12-10,65,65.0
2023-12-11,196,196.0
2023-12-12,1925,1925.0
2023-12-13,1812,1812.0
2023-12-14,1743,1743.0
2023-12-15,657,657.0
2023-12-16,1436,1436.0
2023-12-17,77,77.0
2023-12-18,877,877.0
2023-12-19,2020,2020.0
2023-12-20,2661,2661.0
2023-12-21,3058,3058.0
2023-12-22,2850,2850.0
2023-12-23,3187,3187.0
2023-12-24,65,65.0
2023-12-25,24,24.0
2023-12-26,907,907.0
2023-12-27,209,209.0
2023-12-28,157,157.0
2023-12-29,1236,1236.0
2023-12-30,1053,1053.0
2023-12-31,14,14.0
2024-01-02,461,461.0
2024-01-03,1172,1172.0
2024-01-04,3607,3607.0
2024-01-05,1815,1815.0
2024-01-06,254,254.0
2024-01-07,24,24.0
2024-01-10,2472,2472.0
2024-01-11,1689,1689.0
2024-01-12,2403,2403.0
2024-01-13,198,198.0
2024-01-14,50,50.0
2024-01-15,2305,2305.0
2024-01-16,1002,1002.0
2024-01-17,451,451.0
2024-01-18,378,378.0
2024-01-19,2163,2163.0
2024-01-20,140,140.0
2024-01-21,16,16.0
2024-01-22,3112,3112.0
2024-01-23,774,774.0
2024-01-24,517,517.0
2024-01-25,345,345.0
2024-01-26,426,426.0
2024-01-27,137,137.0
2024-01-28,4,4.0
2024-01-29,423,423.0
2024-01-30,3421,3421.0
2024-01-31,153,153.0
2024-02-01,359,359.0
2024-02-02,343,343.0
2024-02-03,96,96.0
2024-02-04,4179,4179.0
2024-02-05,497,497.0
2024-02-06,425,425.0
2024-02-07,392,392.0
2024-02-08,615,615.0
2024-02-09,263,263.0
2024-02-10,526,526.0
2024-02-11,11,11.0
2024-02-12,171,171.0
2024-02-13,547,547.0
2024-02-14,4678,4678.0
2024-02-15,448,448.0
2024-02-16,357,357.0
2024-02-17,206,206.0
2024-02-18,10,10.0
2024-02-19,3345,3345.0
2024-02-20,6576,6576.0
2024-02-21,337,337.0
2024-02-22,1489,1489.0
2024-02-23,272,272.0
2024-02-24,355,355.0
2024-02-25,24,24.0
2024-02-26,541,541.0
2024-02-27,3480,3480.0
2024-02-28,583,583.0
2024-02-29,532,532.0
2024-03-01,995,995.0
2024-03-02,286,286.0
2024-03-03,32,32.0
2024-03-04,3365,3365.0
2024-03-05,608,608.0
2024-03-06,1814,1814.0
2024-03-07,591,591.0
2024-03-08,294,294.0
2024-03-09,275,275.0
2024-03-10,38,38.0
2024-03-11,327,327.0
2024-03-12,2890,2890.0
2024-03-13,305,305.0
2024-03-14,1087,1087.0
2024-03-15,240,240.0
2024-03-16,278,278.0
2024-03-17,11,11.0
2024-03-18,246,246.0
2024-03-19,2788,2788.0
2024-03-20,606,606.0
2024-03-21,968,968.0
2024-03-22,2307,2307.0
2024-03-23,398,398.0
2024-03-24,15,15.0
2024-03-25,420,420.0
2024-03-26,2498,2498.0
2024-03-27,425,425.0
2024-03-28,423,423.0
2024-03-29,778,778.0
2024-03-30,240,240.0
2024-03-31,9,9.0
2024-04-01,231,231.0
2024-04-02,1851,1851.0
2024-04-03,2432,2432.0
2024-04-04,1022,1022.0
2024-04-05,472,472.0
2024-04-06,344,344.0
2024-04-07,17,17.0
2024-04-08,3856,3856.0
2024-04-09,405,405.0
2024-04-10,244,244.0
2024-04-11,573,573.0
2024-04-12,802,802.0
2024-04-13,225,225.0
2024-04-14,18,18.0
2024-04-15,374,374.0
2024-04-16,1030,1030.0
2024-04-17,515,515.0
2024-04-18,371,371.0
2024-04-19,618,618.0
2024-04-20,127,127.0
2024-04-21,6,6.0
2024-04-22,2504,2504.0
2024-04-23,1353,1353.0
2024-04-24,403,403.0
2024-04-25,428,428.0
2024-04-26,865,865.0
2024-04-27,102,102.0
2024-04-28,1,1.0
2024-04-29,1628,1628.0
2024-04-30,118,118.0
2024-05-02,1370,1370.0
2024-05-03,675,675.0
2024-05-04,168,168.0
2024-05-05,86,86.0
2024-05-06,2996,2996.0
2024-05-07,776,776.0
2024-05-08,43,43.0
2024-05-09,124,124.0
2024-05-10,247,247.0
2024-05-11,55,55.0
2024-05-12,4,4.0
2024-05-13,152,152.0
2024-05-14,336,336.0
2024-05-15,5903,5903.0
2024-05-16,91,91.0
2024-05-17,59,59.0
2024-05-18,98,98.0
2024-05-19,13,13.0
2024-05-20,14,14.0
2024-05-21,72,72.0
2024-05-22,377,377.0
2024-05-23,1272,1272.0
2024-05-24,333,333.0
2024-05-25,43,43.0
2024-05-26,3,3.0
2024-05-27,1021,1021.0
2024-05-28,502,502.0
2024-05-29,1176,1176.0
2024-05-30,88,88.0
2024-05-31,21,21.0
2024-06-01,30,30.0
2024-06-02,1,1.0
2024-06-03,1576,1576.0
2024-06-04,86,86.0
2024-06-05,15,15.0
2024-06-06,1907,1907.0
2024-06-07,26,26.0
2024-06-08,24,24.0
2024-06-10,494,494.0
2024-06-11,245,245.0
2024-06-12,88,88.0
2024-06-13,1306,1306.0
2024-06-14,542,542.0
2024-06-15,1078,1078.0
2024-06-16,2,2.0
2024-06-17,709,709.0
2024-06-18,178,178.0
2024-06-19,114,114.0
2024-06-20,2655,2655.0
2024-06-21,600,600.0
2024-06-22,320,320.0
2024-06-23,10,10.0
2024-06-24,266,266.0
2024-06-25,1341,1341.0
2024-06-26,1128,1128.0
2024-06-27,3594,3594.0
2024-06-28,750,750.0
2024-06-29,172,172.0
2024-06-30,36,36.0
2024-07-01,261,261.0
2024-07-02,375,375.0
2024-07-03,3662,3662.0
2024-07-04,475,475.0
2024-07-05,937,937.0
2024-07-06,1852,1852.0
2024-07-07,33,33.0
2024-07-08,1473,1473.0
2024-07-09,750,750.0
2024-07-10,716,716.0
2024-07-11,1039,1039.0
2024-07-12,136,136.0
2024-07-13,321,321.0
2024-07-14,22,22.0
2024-07-15,206,206.0
2024-07-16,268,268.0
2024-07-17,1961,1961.0
2024-07-18,235,235.0
2024-07-19,358,358.0
2024-07-20,190,190.0
2024-07-21,13,13.0
2024-07-22,317,317.0
2024-07-23,307,307.0
2024-07-24,175,175.0
2024-07-25,1524,1524.0
2024-07-26,96,96.0
2024-07-27,175,175.0
2024-07-28,72,72.0
2024-07-29,49,49.0
2024-07-30,163,163.0
2024-07-31,1226,1226.0
2024-08-01,2181,2181.0
2024-08-02,119,119.0
2024-08-03,82,82.0
2024-08-04,14,14.0
2024-08-05,695,695.0
2024-08-06,1561,1561.0
2024-08-07,113,113.0
2024-08-08,312,312.0
2024-08-09,879,879.0
2024-08-10,118,118.0
2024-08-11,5,5.0
2024-08-12,1401,1401.0
2024-08-13,876,876.0
2024-08-14,116,116.0
2024-08-15,21,21.0
2024-08-16,141,141.0
2024-08-17,325,325.0
2024-08-18,5,5.0
2024-08-19,193,193.0
2024-08-20,524,524.0
2024-08-21,427,427.0
2024-08-22,616,616.0
2024-08-23,1618,1618.0
2024-08-24,58,58.0
2024-08-25,5,5.0
2024-08-26,1678,1678.0
2024-08-27,372,372.0
2024-08-28,653,653.0
2024-08-29,162,162.0
2024-08-30,307,307.0
2024-08-31,269,269.0
2024-09-01,5,5.0
2024-09-02,48,48.0
2024-09-03,2995,2995.0
2024-09-04,2420,2420.0
2024-09-05,276,276.0
2024-09-06,200,200.0
2024-09-07,499,499.0
2024-09-08,333,333.0
2024-09-09,2824,2824.0
2024-09-10,2366,2366.0
2024-09-11,259,259.0
2024-09-12,253,253.0
2024-09-13,1682,1682.0
2024-09-14,337,337.0
2024-09-15,19,19.0
2024-09-16,140,140.0
2024-09-17,1663,1663.0
2024-09-18,227,227.0
2024-09-19,1671,1671.0
2024-09-20,401,401.0
2024-09-21,356,356.0
2024-09-22,8,8.0
2024-09-23,1809,1809.0
2024-09-24,177,177.0
2024-09-25,1883,1883.0
2024-09-26,487,487.0
2024-09-27,212,212.0
2024-09-28,246,246.0
2024-09-29,6,6.0
2024-09-30,703,703.0
2024-10-01,1362,1362.0
2024-10-02,319,319.0
2024-10-03,1095,1095.0
2024-10-04,239,239.0
2024-10-05,208,208.0
2024-10-06,15,15.0
2024-10-07,282,282.0
2024-10-08,2143,2143.0
2024-10-09,109,109.0
2024-10-10,507,507.0
2024-10-11,307,307.0
2024-10-12,93,93.0
2024-10-13,6,6.0
2024-10-14,1894,1894.0
2024-10-15,257,257.0
2024-10-16,1422,1422.0
2024-10-17,277,277.0
2024-10-18,2688,2688.0
2024-10-19,130,130.0
2024-10-20,3,3.0
2024-10-21,1966,1966.0
2024-10-22,1769,1769.0
2024-10-23,846,846.0
2024-10-24,706,706.0
2024-10-25,328,328.0
2024-10-26,137,137.0
2024-10-27,4,4.0
2024-10-28,329,329.0
2024-10-29,135,135.0
2024-10-30,1342,1342.0
2024-10-31,1999,1999.0
2024-11-01,142,142.0
2024-11-02,181,181.0
2024-11-03,7,7.0
2024-11-04,1244,1244.0
2024-11-05,2425,2425.0
2024-11-06,2857,2857.0
2024-11-07,196,196.0
2024-11-08,2469,2469.0
2024-11-09,5430,5430.0
2024-11-10,6,6.0
2024-11-11,722,722.0
2024-11-12,586,586.0
2024-11-13,2067,2067.0
2024-11-14,2263,2263.0
2024-11-15,876,876.0
2024-11-16,215,215.0
2024-11-17,11,11.0
2024-11-18,440,440.0
2024-11-19,3023,3023.0
2024-11-20,4292,4292.0
2024-11-21,1339,1339.0
2024-11-22,1088,1088.0
2024-11-23,256,256.0
2024-11-24,3,3.0
2024-11-25,399,399.0
2024-11-26,3868,3868.0
2024-11-27,690,690.0
2024-11-28,669,669.0
2024-11-29,699,699.0
2024-11-30,342,342.0
2024-12-01,63,63.0
2024-12-02,602,602.0
2024-12-03,1273,1273.0
2024-12-04,2899,2899.0
2024-12-05,733,733.0
2024-12-06,540,540.0
2024-12-07,172,172.0
2024-12-08,41,41.0
2024-12-09,387,387.0
2024-12-10,3284,3284.0
2024-12-11,399,399.0
2024-12-12,2479,2479.0
2024-12-13,387,387.0
2024-12-14,356,356.0
2024-12-15,124,124.0
2024-12-16,1790,1790.0
2024-12-17,347,347.0
2024-12-18,2373,2373.0
2024-12-19,1017,1017.0
2024-12-20,184,184.0
2024-12-21,208,208.0
2024-12-22,78,78.0
2024-12-23,1299,1299.0
2024-12-24,2344,2344.0
2024-12-26,239,239.0
2024-12-27,1071,1071.0
2024-12-28,196,196.0
2024-12-29,22,22.0
2024-12-30,483,483.0
2024-12-31,451,451.0
2025-01-01,31,31.0
2025-01-02,359,359.0
2025-01-03,381,381.0
2025-01-04,295,295.0
2025-01-05,49,49.0
2025-01-06,125,125.0
2025-01-07,1493,1493.0
2025-01-08,347,347.0
2025-01-09,364,364.0
2025-01-10,265,265.0
2025-01-11,247,247.0
2025-01-12,14,14.0
2025-01-13,661,661.0
2025-01-14,469,469.0
2025-01-15,1386,1386.0
2025-01-16,184,184.0
2025-01-17,619,619.0
2025-01-18,1123,1123.0
2025-01-19,22,22.0
2025-01-20,117,117.0
2025-01-21,230,230.0
2025-01-22,204,204.0
2025-01-23,627,627.0
2025-01-24,1210,1210.0
2025-01-25,1851,1851.0
2025-01-26,24,24.0
2025-01-27,922,922.0
2025-01-28,301,301.0
2025-01-29,437,437.0
2025-01-30,218,218.0
2025-01-31,467,467.0
2025-02-01,2443,2443.0
2025-02-02,4,4.0
2025-02-03,297,297.0
2025-02-04,464,464.0
2025-02-05,197,197.0
2025-02-06,430,430.0
2025-02-07,650,650.0
2025-02-08,1708,1708.0
2025-02-09,11,11.0
2025-02-10,1887,1887.0
2025-02-11,144,144.0
2025-02-12,118,118.0
2025-02-13,112,112.0
2025-02-14,857,857.0
2025-02-15,1035,1035.0
2025-02-16,1,1.0
2025-02-17,223,223.0
2025-02-18,176,176.0
2025-02-19,421,421.0
2025-02-20,225,225.0
2025-02-21,1157,1157.0
2025-02-22,1564,1564.0
2025-02-23,4,4.0
2025-02-24,806,806.0
2025-02-25,215,215.0
2025-02-26,491,491.0
2025-02-27,78,78.0
2025-02-28,869,869.0
2025-03-01,79,79.0
2025-03-03,89,89.0
2025-03-04,162,162.0
2025-03-05,1000,1000.0
2025-03-06,374,374.0
2025-03-07,325,325.0
2025-03-08,133,133.0
2025-03-09,20,20.0
2025-03-10,1275,1275.0
2025-03-11,601,601.0
2025-03-12,1141,1141.0
2025-03-13,970,970.0
2025-03-14,445,445.0
2025-03-15,160,160.0
